Rescue probability,Death rate,Mutation rate
0.0,1.2547368421052632,6.309573444801943e-05
0.0,1.2547368421052632,0.0001
0.0,1.2547368421052632,0.0005
0.0,1.2547368421052632,0.001
0.0,1.283157894736842,1e-08
0.0,1.283157894736842,5e-08
0.0,1.283157894736842,1e-07
0.0,1.283157894736842,1.584893192461114e-07
0.0,1.283157894736842,2.5118864315095823e-07
0.0,1.283157894736842,3.981071705534969e-07
0.0,1.283157894736842,6.30957344480193e-07
0.0,1.283157894736842,1e-06
0.0,1.283157894736842,1.584893192461114e-06
0.0,1.283157894736842,2.5118864315095823e-06
0.0,1.283157894736842,3.981071705534969e-06
0.0,1.283157894736842,6.30957344480193e-06
0.0,1.283157894736842,1e-05
0.0,1.283157894736842,1.584893192461114e-05
0.0,1.283157894736842,2.5118864315095822e-05
0.0,1.283157894736842,3.9810717055349695e-05
0.0,1.283157894736842,6.309573444801943e-05
0.0,1.283157894736842,0.0001
0.0,1.283157894736842,0.0005
0.0,1.283157894736842,0.001
0.0,1.311578947368421,1e-08
0.0,1.311578947368421,5e-08
0.0,1.311578947368421,1e-07
0.0,1.311578947368421,1.584893192461114e-07
0.0,1.311578947368421,2.5118864315095823e-07
0.0,1.311578947368421,3.981071705534969e-07
0.0,1.311578947368421,6.30957344480193e-07
0.0,1.311578947368421,1e-06
0.0,1.311578947368421,1.584893192461114e-06
0.0,1.311578947368421,2.5118864315095823e-06
0.0,1.311578947368421,3.981071705534969e-06
0.0,1.311578947368421,6.30957344480193e-06
0.0,1.311578947368421,1e-05
0.0,1.311578947368421,1.584893192461114e-05
0.0,1.311578947368421,2.5118864315095822e-05
0.0,1.311578947368421,3.9810717055349695e-05
0.0,1.311578947368421,6.309573444801943e-05
0.0,1.311578947368421,0.0001
0.0,1.311578947368421,0.0005
0.0,1.311578947368421,0.001
0.0,1.34,1e-08
0.0,1.34,5e-08
0.0,1.34,1e-07
0.0,1.34,1.584893192461114e-07
0.0,1.34,2.5118864315095823e-07
0.0,1.34,3.981071705534969e-07
0.0,1.34,6.30957344480193e-07
0.0,1.34,1e-06
0.0,1.34,1.584893192461114e-06
0.0,1.34,2.5118864315095823e-06
0.0,1.34,3.981071705534969e-06
0.0,1.34,6.30957344480193e-06
0.0,1.34,1e-05
0.0,1.34,1.584893192461114e-05
0.0,1.34,2.5118864315095822e-05
0.0,1.34,3.9810717055349695e-05
0.0,1.34,6.309573444801943e-05
0.0,1.34,0.0001
0.0,1.34,0.0005
0.0,1.34,0.001
